CompTotal,Gender,Manager,YearsCode,Age1stCode,YearsCodePro,Education
80000,Man,IC,11,22,7,Bachelor's
155000,Man,IC,22,10,14,Bachelor's
103000,Man,IC,8,19,5,PhD
60000,Man,IC,3,29,3,Bachelor's
94600,Man,IC,Less than 1 year,19,Less than 1 year,Bachelor's
98000,Man,IC,9,17,5,Bachelor's
2e+05,Man,Manager,10,18,6,Master's
105000,Man,IC,30,22,28,Bachelor's
1e+05,Man,IC,5,21,3,Master's
180000,Man,IC,9,19,6,Bachelor's
130000,Man,IC,25,14,21,Less than bachelor's
140000,Man,Manager,9,10,7,Bachelor's
96000,Man,Manager,23,12,23,Bachelor's
81810,Woman,IC,7,9,4,Bachelor's
165000,Man,IC,10,16,6,Bachelor's
230000,Man,IC,6,17,3,Bachelor's
114000,Man,IC,10,7,6,Master's
115000,Man,IC,26,13,26,Less than bachelor's
110000,Man,IC,3,17,2,Bachelor's
149500,Woman,IC,23,18,19,Bachelor's
130000,Man,IC,14,16,12,Bachelor's
107000,Man,IC,8,20,5,Bachelor's
260000,Man,IC,16,14,10,Master's
55000,Man,IC,13,17,5,Bachelor's
180000,Man,IC,24,9,20,Bachelor's
161000,Woman,IC,37,11,27,PhD
95000,Man,IC,12,10,5,Bachelor's
120000,Man,IC,4,11,4,Less than bachelor's
190000,Man,IC,12,18,10,Bachelor's
125000,Man,IC,22,10,20,Bachelor's
130000,Man,IC,4,27,3,Bachelor's
115000,Man,IC,9,18,5,Master's
128000,Man,IC,35,12,26,Less than bachelor's
110000,Man,IC,2,18,2,Bachelor's
120000,Man,IC,15,13,10,Bachelor's
127741,Man,IC,22,10,12,Less than bachelor's
105000,Man,IC,15,7,11,Bachelor's
98000,Man,IC,9,17,5,Master's
75000,Woman,IC,7,8,Less than 1 year,Master's
70000,Man,IC,3,20,1,Master's
179000,Man,IC,22,16,15,Master's
123000,Man,IC,17,18,17,Bachelor's
177000,Man,IC,19,8,7,Master's
95000,Man,IC,10,14,8,Bachelor's
73000,Man,IC,8,14,8,Less than bachelor's
90000,Man,IC,24,14,12,Bachelor's
1e+05,Man,Manager,20,16,10,Less than bachelor's
67000,Man,IC,5,23,5,Bachelor's
105000,Man,IC,30,19,25,Bachelor's
74000,Man,IC,5,22,3,Bachelor's
105000,Man,IC,25,12,22,Bachelor's
75000,Woman,IC,29,9,5,Less than bachelor's
75000,Man,IC,21,19,15,PhD
106000,Man,IC,21,16,10,Bachelor's
156000,Man,IC,20,15,4,PhD
150000,Man,IC,2,7,2,Master's
2e+05,Man,IC,14,13,6,Master's
61000,Woman,IC,9,18,7,Bachelor's
155000,Man,Manager,41,18,37,Bachelor's
114000,Man,IC,25,11,17,Master's
60000,Man,IC,4,24,3,Less than bachelor's
2e+05,Man,IC,9,8,8,Bachelor's
95000,Man,IC,9,16,5,Bachelor's
101000,Woman,IC,7,15,7,Bachelor's
65000,Man,IC,7,14,2,Bachelor's
70000,Man,IC,5,16,3,Bachelor's
112000,Man,IC,25,8,19,Bachelor's
54000,Woman,IC,3,21,1,Bachelor's
120000,Man,IC,30,15,22,Bachelor's
72000,Woman,IC,9,17,5,Bachelor's
165000,Man,Manager,24,17,20,Master's
110000,Man,IC,20,7,15,Bachelor's
95000,Man,IC,4,11,2,Bachelor's
230000,Woman,Manager,12,16,12,Master's
170000,Man,IC,18,9,13,Bachelor's
92000,Man,IC,8,14,2,Bachelor's
2e+05,Man,IC,14,16,9,Master's
80000,Man,IC,4,21,1,Master's
120000,Woman,IC,5,9,2,Bachelor's
92000,Man,IC,15,14,7,Bachelor's
95000,Man,IC,7,20,5,Master's
145000,Man,IC,10,13,4,Less than bachelor's
106000,Man,IC,5,11,1,Bachelor's
160000,Man,Manager,22,15,16,Bachelor's
180000,Man,IC,21,10,10,Bachelor's
165000,Man,IC,9,16,6,Bachelor's
146000,Man,IC,10,16,5,Bachelor's
140000,Man,IC,5,17,4,Master's
225000,Man,Manager,40,14,35,Bachelor's
92000,Man,IC,11,16,5,Master's
4e+05,Man,Manager,25,19,20,Master's
35006,Man,IC,6,16,Less than 1 year,Bachelor's
220000,Man,IC,39,16,33,Bachelor's
150000,Man,Manager,28,Younger than 5 years,18,Bachelor's
1e+05,Man,IC,7,16,1,Bachelor's
