CompTotal	Education
190000.0	Bachelor's
425000.0	Bachelor's
57000.0	Less than bachelor's
276000.0	PhD
63000.0	Master's
70000.0	Bachelor's
67000.0	Bachelor's
130000.0	Master's
112100.0	Master's
90000.0	Bachelor's
148000.0	Bachelor's
85000.0	Bachelor's
300000.0	Less than bachelor's
150000.0	Master's
85000.0	Bachelor's
100000.0	Bachelor's
106000.0	Less than bachelor's
65000.0	Master's
113000.0	Bachelor's
70000.0	Bachelor's
120000.0	Less than bachelor's
72000.0	Master's
180000.0	Bachelor's
75000.0	Bachelor's
145000.0	Bachelor's
90000.0	Master's
180000.0	Master's
115000.0	Bachelor's
86000.0	Bachelor's
90000.0	Less than bachelor's
120000.0	Bachelor's
92000.0	Bachelor's
55000.0	Master's
125000.0	Bachelor's
76000.0	Bachelor's
135000.0	Bachelor's
175000.0	Master's
65000.0	Bachelor's
190000.0	Bachelor's
120000.0	Bachelor's
105000.0	PhD
64000.0	Bachelor's
105000.0	Bachelor's
60000.0	Less than bachelor's
80000.0	Bachelor's
92000.0	Bachelor's
150000.0	Bachelor's
85000.0	Bachelor's
115000.0	Bachelor's
85000.0	Bachelor's
152000.0	Master's
200000.0	PhD
131000.0	Bachelor's
100000.0	Master's
95000.0	Bachelor's
112000.0	Less than bachelor's
100000.0	Bachelor's
115000.0	Bachelor's
118000.0	Bachelor's
75000.0	Bachelor's
80000.0	Master's
180000.0	Bachelor's
90000.0	Bachelor's
165000.0	Bachelor's
102700.0	Less than bachelor's
120000.0	Less than bachelor's
135000.0	Bachelor's
150000.0	Bachelor's
110000.0	Professional
190000.0	Less than bachelor's
120000.0	Bachelor's
45000.0	Less than bachelor's
180000.0	Master's
125000.0	PhD
115000.0	Master's
95000.0	Bachelor's
160000.0	Bachelor's
175000.0	Master's
170000.0	Master's
78000.0	Bachelor's
120000.0	Bachelor's
200000.0	Bachelor's
130000.0	Less than bachelor's
90000.0	Bachelor's
58000.0	Bachelor's
158000.0	Bachelor's
160000.0	Less than bachelor's
60500.0	Less than bachelor's
80000.0	Bachelor's
155000.0	Bachelor's
91500.0	Master's
120000.0	Master's
125000.0	Bachelor's
132500.0	Master's
148000.0	Master's
195000.0	Master's
180000.0	Bachelor's
150000.0	Bachelor's
100000.0	Master's
140000.0	Bachelor's
96250.0	Bachelor's
75000.0	Less than bachelor's
90000.0	Bachelor's
165000.0	Bachelor's
130000.0	Bachelor's
110000.0	Master's
238000.0	Master's
60000.0	Bachelor's
135000.0	Bachelor's
80000.0	Bachelor's
93500.0	Bachelor's
77000.0	Bachelor's
63000.0	Bachelor's
266000.0	Bachelor's
1000000.0	Less than bachelor's
72000.0	Bachelor's
155000.0	Bachelor's
80000.0	Bachelor's
280000.0	Bachelor's
150000.0	Master's
90000.0	Bachelor's
80000.0	Bachelor's
156000.0	Bachelor's
105000.0	Master's
89000.0	Bachelor's
127000.0	Bachelor's
54248.0	Less than bachelor's
128000.0	Master's
102000.0	Master's
88000.0	Bachelor's
125000.0	Bachelor's
140000.0	Bachelor's
112500.0	PhD
92500.0	Bachelor's
125000.0	Master's
120000.0	Bachelor's
62000.0	Bachelor's
100000.0	Bachelor's
73000.0	Bachelor's
84000.0	Bachelor's
124000.0	Bachelor's
45000.0	Bachelor's
150000.0	Master's
120000.0	Master's
125000.0	Less than bachelor's
242000.0	Bachelor's
117000.0	Bachelor's
126500.0	Bachelor's
140000.0	Bachelor's
139000.0	Master's
172500.0	PhD
137000.0	Bachelor's
190000.0	Master's
82000.0	Bachelor's
95000.0	Bachelor's
60000.0	Bachelor's
100000.0	Bachelor's
150000.0	Master's
180000.0	Bachelor's
250000.0	Bachelor's
66000.0	Less than bachelor's
102000.0	Bachelor's
70000.0	Master's
130000.0	Bachelor's
160000.0	Bachelor's
105000.0	Bachelor's
105000.0	Bachelor's
112800.0	Bachelor's
125000.0	Bachelor's
50000.0	Less than bachelor's
64000.0	Bachelor's
100000.0	Bachelor's
160000.0	Less than bachelor's
95000.0	Master's
82000.0	Less than bachelor's
110000.0	Bachelor's
130000.0	Master's
82500.0	Bachelor's
100000.0	Master's
70000.0	Bachelor's
183000.0	Bachelor's
36000.0	Bachelor's
111000.0	Bachelor's
137000.0	Master's
174000.0	Bachelor's
120000.0	Bachelor's
86000.0	Less than bachelor's
45000.0	Less than bachelor's
85000.0	Bachelor's
85000.0	Bachelor's
200000.0	Master's
85000.0	Bachelor's
160000.0	Bachelor's
140000.0	Bachelor's
150000.0	Bachelor's
210000.0	Master's
192000.0	Bachelor's
175000.0	Bachelor's
100000.0	Bachelor's
150000.0	Less than bachelor's
88500.0	Bachelor's
60000.0	Bachelor's
102000.0	Master's
247084.0	Bachelor's
150000.0	Bachelor's
100000.0	Bachelor's
101426.0	Bachelor's
100000.0	Less than bachelor's
110000.0	Bachelor's
96000.0	Less than bachelor's
145000.0	Bachelor's
200000.0	PhD
150000.0	Bachelor's
108000.0	Master's
82500.0	Master's
75000.0	Bachelor's
182000.0	Bachelor's
130000.0	Master's
121900.0	Less than bachelor's
130000.0	Bachelor's
136200.0	Bachelor's
52000.0	Bachelor's
125000.0	Bachelor's
125000.0	Master's
81000.0	Master's
69300.0	Less than bachelor's
72000.0	Less than bachelor's
85000.0	Bachelor's
65500.0	Bachelor's
100000.0	Bachelor's
80000.0	Bachelor's
100000.0	Less than bachelor's
120000.0	Bachelor's
60000.0	Bachelor's
42000.0	Less than bachelor's
100000.0	Master's
101010.0	Bachelor's
155000.0	Bachelor's
85000.0	Bachelor's
77000.0	Bachelor's
110000.0	Bachelor's
80000.0	Master's
92000.0	Bachelor's
400000.0	Master's
46000.0	Less than bachelor's
145000.0	Bachelor's
68000.0	Bachelor's
240000.0	Bachelor's
176000.0	Bachelor's
120000.0	Bachelor's
150000.0	Bachelor's
103000.0	Less than bachelor's
180000.0	Less than bachelor's
84000.0	Bachelor's
220000.0	Less than bachelor's
36000.0	Less than bachelor's
51024.0	Bachelor's
75000.0	Bachelor's
135000.0	Less than bachelor's
105000.0	Bachelor's
120000.0	Bachelor's
220000.0	Bachelor's
77000.0	Bachelor's
140000.0	Master's
120000.0	Bachelor's
110000.0	Bachelor's
149000.0	Bachelor's
100000.0	Master's
140000.0	Bachelor's
97000.0	Less than bachelor's
65000.0	Bachelor's
130000.0	Bachelor's
83734.0	Bachelor's
88000.0	Less than bachelor's
180000.0	Bachelor's
81588.0	Bachelor's
140000.0	Less than bachelor's
56000.0	Less than bachelor's
360000.0	Master's
82000.0	Bachelor's
80000.0	Bachelor's
150000.0	Master's
37000.0	Bachelor's
110000.0	Bachelor's
76000.0	Bachelor's
100000.0	Bachelor's
56000.0	Less than bachelor's
90000.0	Bachelor's
88000.0	Less than bachelor's
135000.0	PhD
60000.0	Bachelor's
130000.0	Bachelor's
100000.0	Bachelor's
152000.0	Master's
60000.0	Bachelor's
92400.0	Bachelor's
95000.0	Bachelor's
92000.0	Bachelor's
115000.0	Master's
45000.0	Master's
155000.0	Bachelor's
226000.0	Master's
80000.0	Bachelor's
125000.0	Master's
105000.0	Bachelor's
125000.0	Bachelor's
140000.0	Bachelor's
84000.0	Bachelor's
100000.0	Bachelor's
120000.0	Master's
155000.0	Bachelor's
130000.0	PhD
130000.0	PhD
190000.0	Bachelor's
225000.0	Bachelor's
105000.0	Less than bachelor's
105000.0	Less than bachelor's
165000.0	Less than bachelor's
110000.0	Master's
176874.0	Less than bachelor's
165000.0	Bachelor's
111000.0	Bachelor's
100000.0	Bachelor's
95000.0	Master's
92500.0	Bachelor's
80000.0	Bachelor's
110000.0	Bachelor's
78000.0	Bachelor's
73000.0	Master's
74000.0	Bachelor's
74000.0	Master's
130000.0	Master's
105000.0	Less than bachelor's
60000.0	Bachelor's
160000.0	Master's
105000.0	Less than bachelor's
88400.0	Bachelor's
95000.0	Bachelor's
51700.0	Master's
84000.0	Master's
120000.0	Master's
97000.0	Bachelor's
161000.0	Bachelor's
72000.0	Bachelor's
150000.0	Bachelor's
180000.0	PhD
95000.0	Master's
95000.0	Less than bachelor's
150000.0	Less than bachelor's
100000.0	Bachelor's
75000.0	Bachelor's
120000.0	Less than bachelor's
85300.0	Less than bachelor's
135000.0	Master's
185000.0	Bachelor's
100500.0	Less than bachelor's
110000.0	Master's
75000.0	Bachelor's
70000.0	Bachelor's
75000.0	Less than bachelor's
142000.0	Bachelor's
80000.0	Bachelor's
90000.0	Bachelor's
85000.0	Master's
220000.0	Master's
140000.0	Less than bachelor's
140000.0	Less than bachelor's
80738.0	Less than bachelor's
32000.0	Less than bachelor's
175000.0	Master's
200000.0	Bachelor's
85000.0	Bachelor's
85000.0	Bachelor's
200000.0	Bachelor's
125000.0	Bachelor's
128000.0	Bachelor's
103000.0	Less than bachelor's
93000.0	Master's
160000.0	Bachelor's
165000.0	Bachelor's
75000.0	Bachelor's
185000.0	Master's
65000.0	Less than bachelor's
94000.0	Less than bachelor's
75000.0	Bachelor's
120000.0	Master's
113000.0	PhD
105000.0	Master's
105000.0	Bachelor's
94000.0	Bachelor's
85000.0	Master's
155000.0	Professional
67000.0	Bachelor's
153000.0	Master's
95000.0	Bachelor's
60000.0	Less than bachelor's
168000.0	Bachelor's
145000.0	Less than bachelor's
59000.0	Bachelor's
141000.0	Bachelor's
162500.0	Bachelor's
58000.0	Bachelor's
114000.0	Less than bachelor's
140000.0	Bachelor's
35000.0	Less than bachelor's
80000.0	Master's
70000.0	PhD
84000.0	Bachelor's
180000.0	Master's
53000.0	Bachelor's
140000.0	Bachelor's
135000.0	Bachelor's
67000.0	Bachelor's
172000.0	Less than bachelor's
101000.0	Bachelor's
120000.0	Bachelor's
230000.0	Master's
75000.0	Less than bachelor's
50000.0	Bachelor's
135000.0	Bachelor's
130000.0	Bachelor's
110000.0	Bachelor's
95000.0	Bachelor's
110000.0	Bachelor's
123000.0	Bachelor's
165000.0	Less than bachelor's
100000.0	Master's
60000.0	Bachelor's
70000.0	Bachelor's
185000.0	PhD
