company	date	price
AMZN	2020-08-17	3182.409912
AMZN	2020-08-18	3312.48999
AMZN	2020-08-19	3260.47998
AMZN	2020-08-20	3297.370117
AMZN	2020-08-21	3284.719971
AMZN	2020-08-24	3307.459961
AMZN	2020-08-25	3346.48999
AMZN	2020-08-26	3441.850098
AMZN	2020-08-27	3400
AMZN	2020-08-28	3401.800049
AMZN	2020-08-31	3450.959961
AMZN	2020-09-01	3499.120117
AMZN	2020-09-02	3531.449951
AMZN	2020-09-03	3368
AMZN	2020-09-04	3294.620117
AMZN	2020-09-08	3149.840088
AMZN	2020-09-09	3268.610107
AMZN	2020-09-10	3175.110107
AMZN	2020-09-11	3116.219971
AMZN	2020-09-14	3102.969971
AMZN	2020-09-15	3156.129883
AMZN	2020-09-16	3078.100098
AMZN	2020-09-17	3008.72998
AMZN	2020-09-18	2954.909912
AMZN	2020-09-21	2960.469971
AMZN	2020-09-22	3128.98999
AMZN	2020-09-23	2999.860107
AMZN	2020-09-24	3019.790039
AMZN	2020-09-25	3095.129883
AMZN	2020-09-28	3174.050049
AMZN	2020-09-29	3144.879883
AMZN	2020-09-30	3148.72998
AMZN	2020-10-01	3221.26001
AMZN	2020-10-02	3125
AMZN	2020-10-05	3199.199951
AMZN	2020-10-06	3099.959961
AMZN	2020-10-07	3195.689941
AMZN	2020-10-08	3190.550049
AMZN	2020-10-09	3286.649902
AMZN	2020-10-12	3442.929932
AMZN	2020-10-13	3443.629883
AMZN	2020-10-14	3363.709961
AMZN	2020-10-15	3338.649902
AMZN	2020-10-16	3272.709961
AMZN	2020-10-19	3207.209961
AMZN	2020-10-20	3217.01001
AMZN	2020-10-21	3184.939941
AMZN	2020-10-22	3176.399902
AMZN	2020-10-23	3204.399902
AMZN	2020-10-26	3207.040039
AMZN	2020-10-27	3286.330078
AMZN	2020-10-28	3162.780029
AMZN	2020-10-29	3211.01001
AMZN	2020-10-30	3036.149902
AMZN	2020-11-02	3004.47998
AMZN	2020-11-03	3048.409912
AMZN	2020-11-04	3241.159912
AMZN	2020-11-05	3322
AMZN	2020-11-06	3311.370117
AMZN	2020-11-09	3143.73999
AMZN	2020-11-10	3035.02002
AMZN	2020-11-11	3137.389893
AMZN	2020-11-12	3110.280029
AMZN	2020-11-13	3128.810059
AMZN	2020-11-16	3131.060059
AMZN	2020-11-17	3135.659912
AMZN	2020-11-18	3105.459961
AMZN	2020-11-19	3117.02002
AMZN	2020-11-20	3099.399902
AMZN	2020-11-23	3098.389893
AMZN	2020-11-24	3118.060059
AMZN	2020-11-25	3185.070068
AMZN	2020-11-27	3195.340088
AMZN	2020-11-30	3168.040039
AMZN	2020-12-01	3220.080078
AMZN	2020-12-02	3203.530029
AMZN	2020-12-03	3186.72998
AMZN	2020-12-04	3162.580078
AMZN	2020-12-07	3158
AMZN	2020-12-08	3177.290039
AMZN	2020-12-09	3104.199951
AMZN	2020-12-10	3101.48999
AMZN	2020-12-11	3116.419922
AMZN	2020-12-14	3156.969971
AMZN	2020-12-15	3165.120117
AMZN	2020-12-16	3240.959961
AMZN	2020-12-17	3236.080078
AMZN	2020-12-18	3201.649902
AMZN	2020-12-21	3206.179932
AMZN	2020-12-22	3206.52002
AMZN	2020-12-23	3185.27002
AMZN	2020-12-24	3172.689941
AMZN	2020-12-28	3283.959961
AMZN	2020-12-29	3322
AMZN	2020-12-30	3285.850098
AMZN	2020-12-31	3256.929932
AMZN	2021-01-04	3186.629883
AMZN	2021-01-05	3218.51001
AMZN	2021-01-06	3138.379883
AMZN	2021-01-07	3162.159912
AMZN	2021-01-08	3182.699951
AMZN	2021-01-11	3114.209961
AMZN	2021-01-12	3120.830078
AMZN	2021-01-13	3165.889893
